First Name,Last Name,Position,Team,Age
DeWanna,Bonner,F/G,Atlanta Dream,39
Isobel,Borlase,G,Atlanta Dream,22
Jordin,Canada,G,Atlanta Dream,31
Allisha,Gray,G,Atlanta Dream,31
Naz,Hillmon,F,Atlanta Dream,26
Rhyne,Howard,G,Atlanta Dream,26
Brionna,Jones,F,Atlanta Dream,30
Sika,Koné,F,Atlanta Dream,24
Indya,Nivar,G,Atlanta Dream,22
Madina,Okot,C,Atlanta Dream,22
Te-Hina,Paopao,G,Atlanta Dream,24
Angel,Reese,F,Atlanta Dream,24
Matilde,Villa,G,Atlanta Dream,21
Shatori,Walker-Kimbrough,G,Atlanta Dream,31
Rachel,Banham,G,Chicago Sky,33
Kate,Martin,G,Chicago Sky,26
Kamilla,Cardoso,C,Chicago Sky,25
DiJonai,Carrington,G/F,Chicago Sky,28
Natasha,Cloud,G,Chicago Sky,34
Aicha,Coulibaly,G,Chicago Sky,24
Skylar,Diggins,G,Chicago Sky,36
Rickea,Jackson,F,Chicago Sky,25
Gabriela,Jaquez,G,Chicago Sky,22
Morgan,Maly,F,Chicago Sky,24
Jacy,Sheldon,G,Chicago Sky,26
Azurá,Stevens,F/C,Chicago Sky,30
Sydney,Taylor,G,Chicago Sky,25
Courtney,Vandersloot,G,Chicago Sky,37
Elizabeth,Williams,C/F,Chicago Sky,33
Nell,Angloma,F,Connecticut Sun,20
Raegan,Beers,F,Connecticut Sun,22
Kennedy,Burke,G/F,Connecticut Sun,29
Aaliyah,Edwards,F,Connecticut Sun,24
Brittney,Griner,C,Connecticut Sun,35
Ashlon,Jackson,G,Connecticut Sun,22
Gianna,Kneepkens,G,Connecticut Sun,23
Leïla,Lacan,G,Connecticut Sun,22
Charlisse,Leger-Walker,G,Connecticut Sun,25
Diamond,Miller,F,Connecticut Sun,25
Olivia,Nelson-Ododa,C,Connecticut Sun,26
Saniya,Rivers,G,Connecticut Sun,23
Hailey,Van Lith,G,Connecticut Sun,25
Rayah,Marshall,C/F,Connecticut Sun,22
Monique,Billings,F,Indiana Fever,30
Aliyah,Boston,C/F,Indiana Fever,24
Caitlin,Clark,G,Indiana Fever,24
Sophie,Cunningham,G,Indiana Fever,30
Damiris,Dantas,C/F,Indiana Fever,33
Bree,Hall,G,Indiana Fever,23
Tyasha,Harris,G,Indiana Fever,28
Myisha,Hines-Allen,F,Indiana Fever,31
Lexie,Hull,G,Indiana Fever,27
Raven,Johnson,G,Indiana Fever,23
Kelsey,Mitchell,G,Indiana Fever,30
Mercedes,Russell,C,Indiana Fever,31
Michelle,Onyiah,F/C,Indiana Fever,24
Makayla,Timpson,F/C,Indiana Fever,24
Grace,VanSlooten,F,Indiana Fever,22
Rebecca,Allen,F/G,New York Liberty,33
Pauline,Astier,G,New York Liberty,24
Elizabeth,Balogun,F,New York Liberty,26
Raquel,Carrera,C,New York Liberty,24
Marine,Fauthoux,G,New York Liberty,25
Leonie,Fiebich,F,New York Liberty,26
Rebekah,Gardner,G,New York Liberty,36
Sabrina,Ionescu,G,New York Liberty,28
Marine,Johannès,G,New York Liberty,31
Jonquel,Jones,C,New York Liberty,32
Anneli,Maley,F,New York Liberty,28
Satou,Sabally,F,New York Liberty,28
Madison,Scott,G/F,New York Liberty,24
Breanna,Stewart,F,New York Liberty,32
Han,Xu,C,New York Liberty,26
Julie,Allemand,G,Toronto Tempo,30
Ornella,Bankole,F,Toronto Tempo,28
Kamila,Borkowska,C,Toronto Tempo,24
María,Conde,F,Toronto Tempo,29
Temi,Fagbenle,C,Toronto Tempo,34
Maria,Gakdeng,F/C,Toronto Tempo,23
Zaay,Green,G,Toronto Tempo,26
